1|Toy Story (1995)|01-Jan-1995|3,4,5|318,523,792,1654,4982,6014,6723,6734,6916,8455,8916,9288,11028,12528,12616,12617,14398,15677,16578,17605,17662,18005,18146,18278,18322,18697,19491,20286,21178,21711,22893,23120,23668,25988,27592,28491,30253,31081,31408,31927,32135,33438,35705|
2|GoldenEye (1995)|01-Jan-1995|1,2,16|1028,1125,1399,2667,3102,3270,4352,4793,4958,5668,6062,6956,8790,10717,11064,11499,11982,12332,12444,13215,13580,13790,15098,15131,15321,17184,19506,24155,25191,25881,27568,27816,27988,28388,28686,28928,30072,30986,34393|
3|Four Rooms (1995)|01-Jan-1995|16|1091,1558,3188,9714,12680,18019,19273,20680,21862,22975,23155,24097,25513,25570,25786,27410,27441,28876,29066,29453,31478,31848,31966,34143,34736,35344,35523,35525,35912,36396|
4|Get Shorty (1995)|01-Jan-1995|1,5,8|2484,4390,4676,5642,5729,6908,7058,7657,7821,7954,8486,8820,8885,9072,9871,10053,11474,11634,12957,13133,13944,14131,15479,17006,17256,17532,17588,18962,19638,20016,20724,20953,21281,22474,22889,23010,23528,23532,23672,24149,25192,25552,26230,27674,29386,30424,31668,32164,33514,34169,34401,35927,35928|
5|Copycat (1995)|01-Jan-1995|6,8,16|1127,1390,1621,2172,2444,2542,2632,2753,3961,4407,4444,4978,5722,5854,7022,7106,7598,8752,8753,9284,10136,10813,11374,11619,11944,12150,12196,12364,12673,14829,15531,15678,15703,15835,16277,16327,16691,17226,17559,17982,18690,19051,19280,19287,19414,19783,19960,19990,20536,20592,20912,21069,21816,23064,23731,24546,24547,25040,25740,26182,26183,26471,26778,27560,28297,29142,29551,29904,30584,32821,34541,34664,34718,34825,35032,36084|
6|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|01-Jan-1995|8||
7|Twelve Monkeys (1995)|01-Jan-1995|8,15|55,134,1789,1967,2554,2557,3122,3278,3513,3731,5130,5183,5712,5774,6045,7008,8074,8381,8536,9109,9542,9558,10044,10438,10952,11252,11451,11968,12155,12405,13167,13855,14395,14731,14948,14961,15038,15599,15708,16652,16681,17046,17398,17673,17688,17724,17921,17957,18355,19221,19324,19376,19777,20062,20074,21177,21555,21852,21963,22057,22087,23312,23421,23428,24075,24097,24633,25340,27283,27423,28019,28153,28329,28821,28860,29232,29356,30162,31237,31428,31878,33439,34926,34966,35127,35289,35959,36460,36606|
8|Babe (1995)|01-Jan-1995|4,5,8|958,1191,1272,1975,2771,2929,4858,6097,6475,6743,8330,8793,9427,9642,10461,12222,13078,13205,13312,13677,13683,13896,14876,15197,15456,16027,18370,19223,22991,23556,23561,24364,24855,24937,25312,26035,26264,26308,26593,27342,27369,27419,27592,28342,28400,28437,28717,28947,28992,29342,29433,29850,30073,30521,30674,31144,31603,32523,32652,32798,33297,33404,33645,35261,35354,35965|
9|Dead Man Walking (1995)|01-Jan-1995|8|45,607,1253,1932,1965,2093,2136,2476,2547,2695,2733,3003,3397,4345,4500,4946,6734,7378,7585,8158,9888,10289,10523,10777,12038,13318,14670,15607,16018,16087,16132,17346,17649,18013,18828,18830,18833,19699,19982,21001,21226,22121,24115,24167,25043,25372,26176,26561,27714,28646,28837,29418,29604,30696,30842,31262,31707,31788,33471,33872,33876,33891,34285,34719,34807,36159,36521|
10|Richard III (1995)|22-Jan-1996|8,17|567,2301,2601,3493,6085,6135,6246,6646,8215,8888,9255,9341,9593,11020,13098,13580,14706,14727,17188,18049,18299,21644,23730,24082,24338,25593,29268,30460,32369,34394,34810,35014|
11|Seven (Se7en) (1995)|01-Jan-1995|6,16||
12|Usual Suspects, The (1995)|14-Aug-1995|6,16||
13|Mighty Aphrodite (1995)|30-Oct-1995|5|40,116,322,344,994,2025,3669,3683,4280,5123,5223,5410,6335,6450,7128,7216,7472,7502,7953,8089,8113,9821,12229,12337,13894,13972,14849,14859,15272,15585,15607,15818,16070,16135,17808,18270,18285,18907,20058,20657,21390,21746,22272,22380,22611,23402,23671,24188,25788,25822,25885,26609,27222,27686,27793,27841,28177,28212,28260,29039,29186,29217,29438,30056,30322,30978,31276,32538,33068,34488,34835,34899,35849|
14|Postino, Il (1994)|01-Jan-1994|8,14||
15|Mr. Holland's Opus (1995)|29-Jan-1996|8|93,460,618,1712,1793,1818,2353,2982,3177,3265,3406,3660,4116,4257,4564,5184,5881,5927,6137,6184,6676,7215,7351,7535,8095,8211,8277,10362,11110,13706,14117,14969,15284,16061,17478,18403,18541,18806,19058,20656,21725,22116,23005,23793,23795,25169,25961,26464,26552,27841,28045,28186,28417,28827,29247,29479,30063,30407,31508,31975,32184,32632,32828,33164,34612,34642,34844,35949,36396,36462|
16|French Twist (Gazon maudit) (1995)|01-Jan-1995|5,14||
17|From Dusk Till Dawn (1996)|05-Feb-1996|1,5,6,11,16|797,1558,4162,4551,4842,6976,7856,9576,9832,11634,12589,12680,12843,13195,13998,14716,14761,15663,16309,17118,17223,17526,17800,19011,19750,19760,21862,22411,22445,22482,23134,24079,24312,25693,25720,25721,26081,26813,26898,27907,28965,29325,29445,29453,29653,30232,30944,31113,31195,31350,31995,32327,33483,35390|
18|White Balloon, The (1995)|01-Jan-1995|8||
19|Antonia's Line (1995)|01-Jan-1995|8||
20|Angels and Insects (1995)|01-Jan-1995|8,14|761,772,1044,1120,1533,2105,5270,5441,7508,7701,8309,9403,9791,10055,10492,10546,10969,11711,12035,12584,13119,16249,17109,17599,18339,18372,19477,22060,22290,22478,22659,22660,22928,23840,24432,24834,25174,25215,25298,25900,26001,26587,26827,26831,26871,26998,28248,28862,28930,29122,29164,29165,29460,29570,29922,29943,30455,31320,31323,31332,31507,31510,31739,31877,32163,32401,32616,33235,33294,33437,33653,33672,34394,34825,34838,34839,35254,35424,35443,35664,35777,36224,36538|
