282|Time to Kill, A (1996)|232
496|It's a Wonderful Life (1946)|231
301|In & Out (1997)|230
568|Speed (1994)|230
265|The Hunt for Red October (1990)|227
655|Stand by Me (1986)|227
182|GoodFellas (1990)|226
273|Heat (1995)|223
143|The Sound of Music (1965)|222
179|Clockwork Orange, A (1971)|221
180|Apocalypse Now (1979)|221
471|Courage Under Fire (1996)|221
71|The Lion King (1994)|220
161|Top Gun (1986)|220
8|Babe (1995)|219
95|Aladdin (1992)|219
427|To Kill a Mockingbird (1962)|219
678|Volcano (1997)|219
322|Murder at 1600 (1997)|218
235|Mars Attacks! (1996)|217
435|Butch Cassidy and the Sundance Kid (1969)|216
508|The People vs. Larry Flynt (1996)|215
88|Sleepless in Seattle (1993)|213
215|Field of Dreams (1989)|212
271|Starship Troopers (1997)|211
4|Get Shorty (1995)|209
187|The Godfather: Part II (1974)|209
603|Rear Window (1954)|209
175|Brazil (1985)|208
385|True Lies (1994)|208
200|The Shining (1980)|206
211|M*A*S*H (1970)|206
597|Eraser (1996)|206
588|Beauty and the Beast (1991)|202
403|Batman (1989)|201
515|Boot, Das (1981)|201
208|Young Frankenstein (1974)|200
230|Star Trek IV: The Voyage Home (1986)|199
134|Citizen Kane (1941)|198
272|Good Will Hunting (1997)|198
250|The Fifth Element (1997)|197
527|Gandhi (1982)|195
298|Face/Off (1997)|194
474|Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)|194
284|Tin Cup (1996)|193
393|Mrs. Doubtfire (1993)|192
209|This Is Spinal Tap (1984)|191
274|Sabrina (1995)|190
340|Boogie Nights (1997)|189
307|The Devil's Advocate (1997)|188
124|Lone Star (1996)|187
147|The Long Kiss Goodnight (1996)|185
13|Mighty Aphrodite (1995)|184
14|Postino, Il (1994)|183
23|Taxi Driver (1976)|182
203|Unforgiven (1992)|182
514|Annie Hall (1977)|180
732|Dave (1993)|180
751|Tomorrow Never Dies (1997)|180
479|Vertigo (1958)|179
480|North by Northwest (1959)|179
566|Clear and Present Danger (1994)|179
419|Mary Poppins (1964)|178
591|Primal Fear (1996)|178
283|Emma (1996)|177
83|Much Ado About Nothing (1993)|176
845|That Thing You Do! (1996)|176
58|Quiz Show (1994)|175
326|G.I. Jane (1997)|175
327|Cop Land (1997)|175
24|Rumble in the Bronx (1995)|174
154|Monty Python's Life of Brian (1979)|174
432|Fantasia (1940)|174
511|Lawrence of Arabia (1962)|173
99|Snow White and the Seven Dwarfs (1937)|172
255|My Best Friend's Wedding (1997)|172
133|Gone with the Wind (1939)|171
137|Big Night (1996)|171
218|Cape Fear (1991)|171
229|Star Trek III: The Search for Spock (1984)|171
433|Heathers (1989)|171
651|Glory (1989)|171
188|Full Metal Jacket (1987)|170
367|Clueless (1995)|170
402|Ghost (1990)|170
451|Grease (1978)|170
321|Mother (1996)|169
628|Sleepers (1996)|169
684|In the Line of Fire (1993)|169
319|Everyone Says I Love You (1996)|168
582|The Piano (1993)|168
226|Die Hard 2 (1990)|166
199|The Bridge on the River Kwai (1957)|165
523|Cool Hand Luke (1967)|164
692|The American President (1995)|164
739|Pretty Woman (1990)|164
411|The Nutty Professor (1996)|163
66|While You Were Sleeping (1995)|162
259|George of the Jungle (1997)|162
285|Secrets & Lies (1996)|162
410|Kingpin (1996)|162
443|The Birds (1963)|162
227|Star Trek VI: The Undiscovered Country (1991)|161
248|Grosse Pointe Blank (1997)|160
315|Apt Pupil (1998)|160
476|The First Wives Club (1996)|160
252|The Lost World: Jurassic Park (1997)|158
472|Dragonheart (1996)|158
150|Swingers (1996)|157
193|The Right Stuff (1983)|157
685|Executive Decision (1996)|157
240|Beavis and Butt-head Do America (1996)|156
690|Seven Years in Tibet (1997)|155
31|Crimson Tide (1995)|154
431|Highlander (1986)|153
660|Fried Green Tomatoes (1991)|153
498|The African Queen (1951)|152
77|The Firm (1993)|151
164|The Abyss (1989)|151
550|Die Hard: With a Vengeance (1995)|151
86|The Remains of the Day (1993)|150
239|Sneakers (1992)|150
55|The Professional (1994)|149
304|Fly Away Home (1996)|149
763|Happy Gilmore (1996)|149
42|Clerks (1994)|148
156|Reservoir Dogs (1992)|148
462|Like Water For Chocolate (Como agua para chocolate) (1992)|148
1028|Grumpier Old Men (1995)|148
293|Donnie Brasco (1997)|147
654|Chinatown (1974)|147
281|The River Wild (1994)|146
310|The Rainmaker (1997)|145
455|Jackie Chan's First Strike (1996)|145
91|The Nightmare Before Christmas (1993)|143
332|Kiss the Girls (1997)|143
358|Spawn (1997)|143
231|Batman Returns (1992)|142
87|Searching for Bobby Fischer (1993)|138
484|The Maltese Falcon (1941)|138
94|Home Alone (1990)|137
177|The Good, The Bad and The Ugly (1966)|137
347|Wag the Dog (1997)|137
559|Interview with the Vampire (1994)|137
705|Singin' in the Rain (1952)|137
735|Philadelphia (1993)|137
1016|Con Air (1997)|137
205|Patton (1970)|136
223|Sling Blade (1996)|136
270|Gattaca (1997)|136
879|The Peacemaker (1997)|136
68|The Crow (1994)|134
213|Room with a View, A (1986)|134
303|Ulee's Gold (1997)|134
1047|Multiplicity (1996)|134
47|Ed Wood (1994)|133
243|Jungle2Jungle (1997)|132
2|GoldenEye (1995)|131
657|The Manchurian Candidate (1962)|131
109|Mystery Science Theater 3000: The Movie (1996)|130
249|Austin Powers: International Man of Mystery (1997)|130
72|The Mask (1994)|129
129|Bound (1996)|129
418|Cinderella (1950)|129
531|Shine (1996)|129
53|Natural Born Killers (1994)|128
73|Maverick (1994)|128
148|The Ghost and the Darkness (1996)|128
241|The Last of the Mohicans (1992)|128
325|Crash (1996)|128
482|Some Like It Hot (1959)|128
756|Father of the Bride Part II (1995)|128
62|Stargate (1994)|127
157|Platoon (1986)|127
198|Nikita (La Femme Nikita) (1990)|127
260|Event Horizon (1997)|127
291|Absolute Power (1997)|127
596|The Hunchback of Notre Dame (1996)|127
346|Jackie Brown (1997)|126
473|James and the Giant Peach (1996)|126
116|Cold Comfort Farm (1995)|125
178|12 Angry Men (1957)|125
324|Lost Highway (1997)|125
485|My Fair Lady (1964)|125
190|Henry V (1989)|124
233|Under Siege (1992)|124
246|Chasing Amy (1997)|124
343|Alien: Resurrection (1997)|124
520|The Great Escape (1963)|124
526|Ben-Hur (1959)|124
750|Amistad (1997)|124
501|Dumbo (1941)|123
504|Bonnie and Clyde (1967)|122
170|Cinema Paradiso (1988)|121
428|Harold and Maude (1971)|121
447|Carrie (1976)|121
509|My Left Foot (1989)|121
510|The Magnificent Seven (1954)|121
528|The Killing Fields (1984)|121
38|The Net (1995)|120
217|Bram Stoker's Dracula (1992)|120
521|The Deer Hunter (1978)|120
631|The Crying Game (1992)|119
746|Real Genius (1985)|119
866|Michael (1996)|119
169|The Wrong Trousers (1993)|118
48|Hoop Dreams (1994)|117
242|Kolya (1996)|117
449|Star Trek: The Motion Picture (1979)|117
184|Army of Darkness (1993)|116
192|Raging Bull (1980)|116
380|Star Trek: Generations (1994)|116
663|Being There (1979)|116
65|What's Eating Gilbert Grape (1993)|115
123|The Frighteners (1996)|115
659|Arsenic and Old Lace (1944)|115
762|Beautiful Girls (1996)|115
29|Batman Forever (1995)|114
214|Pink Floyd - The Wall (1982)|114
292|Rosewood (1997)|114
331|The Edge (1997)|113
93|Welcome to the Dollhouse (1995)|112
316|As Good As It Gets (1997)|112
408|Close Shave, A (1995)|112
815|One Fine Day (1996)|112
219|Nightmare on Elm Street, A (1984)|111
382|The Adventures of Priscilla, Queen of the Desert (1994)|111
81|The Hudsucker Proxy (1994)|110
225|101 Dalmatians (1996)|109
470|Tombstone (1993)|108
679|Conan the Barbarian (1981)|107
122|The Cable Guy (1996)|106
162|On Golden Pond (1981)|106
421|William Shakespeare's Romeo and Juliet (1996)|106
895|Scream 2 (1997)|106
136|Mr. Smith Goes to Washington (1939)|105
54|Outbreak (1995)|104
92|True Romance (1993)|104
478|The Philadelphia Story (1940)|104
709|Strictly Ballroom (1992)|104
928|The Craft (1996)|104
67|Ace Ventura: Pet Detective (1994)|103
317|In the Name of the Father (1993)|102
554|Waterworld (1995)|102
699|Little Women (1994)|102
747|Benny & Joon (1993)|102
159|Basic Instinct (1992)|101
232|Young Guns (1988)|101
264|Mimic (1997)|101
378|Miracle on 34th Street (1994)|101
404|Pinocchio (1940)|101
708|Sex, Lies, and Videotape (1989)|101
926|Down Periscope (1996)|101
381|Muriel's Wedding (1994)|100
665|Alien 3 (1992)|100
682|I Know What You Did Last Summer (1997)|100
1012|Private Parts (1997)|100
436|American Werewolf in London, An (1981)|99
155|Dirty Dancing (1987)|98
507|Streetcar Named Desire, A (1951)|98
1014|Romy and Michele's High School Reunion (1997)|98
33|Desperado (1995)|97
126|The Spitfire Grill (1996)|97
356|The Client (1994)|97
429|The Day the Earth Stood Still (1951)|97
290|Fierce Creatures (1997)|96
306|Mrs. Brown (Her Majesty, Mrs. Brown) (1997)|96
755|Jumanji (1995)|96
919|The City of Lost Children (1995)|96
90|So I Married an Axe Murderer (1993)|95
131|Breakfast at Tiffany's (1961)|95
477|Matilda (1996)|95
412|Very Brady Sequel, A (1996)|93
430|Duck Soup (1933)|93
529|My Life as a Dog (Mitt liv som hund) (1985)|93
576|Cliffhanger (1993)|93
820|Space Jam (1996)|93
1011|2 Days in the Valley (1996)|93
17|From Dusk Till Dawn (1996)|92
163|The Return of the Pink Panther (1974)|92
212|The Unbearable Lightness of Being (1988)|92
549|Rob Roy (1995)|92
578|Demolition Man (1993)|92
744|Michael Collins (1996)|92
52|The Madness of King George (1994)|91
338|Bean (1997)|91
517|Manhattan (1979)|91
636|Escape from New York (1981)|91
693|Casino (1995)|91
831|Escape from L.A. (1996)|91
3|Four Rooms (1995)|90
458|Nixon (1995)|90
506|Rebel Without a Cause (1955)|90
652|Rosencrantz and Guildenstern Are Dead (1990)|90
1039|Hamlet (1996)|90
10|Richard III (1995)|89
201|Evil Dead II (1987)|89
399|The Three Musketeers (1993)|89
518|Miller's Crossing (1990)|89
642|The Grifters (1990)|89
661|High Noon (1952)|88
39|Strange Days (1995)|87
305|The Ice Storm (1997)|87
386|Addams Family Values (1993)|87
689|The Jackal (1997)|87
715|To Die For (1995)|87
5|Copycat (1995)|86
673|Cape Fear (1962)|86
720|First Knight (1995)|86
792|Bullets Over Broadway (1994)|86
864|My Fellow Americans (1996)|86
988|The Beautician and the Beast (1997)|86
280|Up Close and Personal (1996)|85
425|Bob Roberts (1992)|85
448|The Omen (1976)|85
465|The Jungle Book (1994)|85
924|White Squall (1996)|85
21|Muppet Treasure Island (1996)|84
781|French Kiss (1995)|84
59|Three Colors: Red (1994)|83
825|The Arrival (1996)|83
63|The Santa Clause (1994)|82
152|Sleeper (1973)|82
625|The Sword in the Stone (1963)|82
640|The Cook the Thief His Wife & Her Lover (1989)|82
662|Somewhere in Time (1980)|82
717|The Juror (1996)|82
823|Mulholland Falls (1996)|82
32|Crumb (1994)|81
49|I.Q. (1994)|81
51|Legends of the Fall (1994)|81
420|Alice in Wonderland (1951)|81
604|It Happened One Night (1934)|81
729|Nell (1994)|81
873|Picture Perfect (1997)|81
45|Eat Drink Man Woman (1994)|80
312|Midnight in the Garden of Good and Evil (1997)|80
519|The Treasure of the Sierra Madre (1948)|80
530|The Man Who Would Be King (1975)|80
826|The Phantom (1996)|80
930|Chain Reaction (1996)|80
44|Dolores Claiborne (1994)|79
584|The Secret Garden (1993)|79
658|Pump Up the Volume (1990)|79
696|City Hall (1996)|79
710|Better Off Dead... (1985)|79
287|Marvin's Room (1996)|78
736|Shadowlands (1993)|78
295|Breakdown (1997)|77
629|Victor/Victoria (1982)|77
676|The Crucible (1996)|77
1074|Reality Bites (1994)|77
401|The Brady Bunch Movie (1995)|76
724|Circle of Friends (1995)|76
778|Don Juan DeMarco (1995)|76
311|The Wings of the Dove (1997)|75
627|Robin Hood: Prince of Thieves (1991)|75
871|Vegas Vacation (1997)|75
969|Winnie the Pooh and the Blustery Day (1968)|75
105|Sgt. Bilko (1996)|74
221|Breaking the Waves (1996)|74
461|Smoke (1995)|74
1101|Six Degrees of Separation (1993)|74
26|The Brothers McMullen (1995)|73
101|Heavy Metal (1981)|73
299|Hoodlum (1997)|73
417|The Parent Trap (1961)|73
525|The Big Sleep (1946)|73
1048|She's the One (1996)|73
20|Angels and Insects (1995)|72
141|20,000 Leagues Under the Sea (1954)|72
354|The Wedding Singer (1998)|72
513|The Third Man (1949)|72
650|Seventh Seal, The (Sjunde inseglet, Det) (1957)|72
713|Othello (1995)|72
106|Diabolique (1996)|71
277|Restoration (1995)|71
463|The Secret of Roan Inish (1994)|71
544|Things to Do in Denver when You're Dead (1995)|71
949|How to Make an American Quilt (1995)|71
409|Jack (1996)|70
558|Heavenly Creatures (1994)|70
647|Ran (1985)|70
707|Enchanted April (1991)|70
19|Antonia's Line (1995)|69
160|Glengarry Glen Ross (1992)|69
384|Naked Gun 33 1/3: The Final Insult (1994)|69
633|Christmas Carol, A (1938)|69
687|McHale's Navy (1997)|69
780|Dumb & Dumber (1994)|69
80|Hot Shots! Part Deux (1993)|68
392|The Man Without a Face (1993)|68
487|Roman Holiday (1953)|68
497|Bringing Up Baby (1938)|68
505|Dial M for Murder (1954)|68
934|The Preacher's Wife (1996)|68
1035|Cool Runnings (1993)|68
114|Wallace & Gromit: The Best of Aardman Animation (1996)|67
120|Striptease (1996)|67
167|Private Benjamin (1980)|67
371|The Bridges of Madison County (1995)|67
434|Forbidden Planet (1956)|67
469|Short Cuts (1993)|67
491|The Adventures of Robin Hood (1938)|67
569|Wolf (1994)|67
648|The Quiet Man (1952)|67
189|Grand Day Out, A (1992)|66
207|Cyrano de Bergerac (1990)|66
220|The Mirror Has Two Faces (1996)|66
262|In the Company of Men (1997)|66
452|Jaws 2 (1978)|66
538|Anastasia (1997)|66
606|All About Eve (1950)|66
607|Rebecca (1940)|66
790|Tommy Boy (1995)|66
855|Diva (1981)|66
993|Hercules (1997)|66
1073|Shallow Grave (1994)|66
108|Kids in the Hall: Brain Candy (1996)|65
128|Supercop (1992)|65
145|The Lawnmower Man (1992)|65
171|Delicatessen (1991)|65
345|Deconstructing Harry (1997)|65
387|The Age of Innocence (1993)|65
488|Sunset Blvd. (1950)|65
672|Candyman (1992)|65
60|Three Colors: Blue (1993)|64
165|Jean de Florette (1986)|64
334|U Turn (1997)|64
416|Old Yeller (1957)|64
468|Rudy (1993)|64
486|Sabrina (1954)|64
595|The Fan (1996)|64
616|Night of the Living Dead (1968)|64
619|Extreme Measures (1996)|64
887|Eve's Bayou (1997)|64
959|Dazed and Confused (1993)|64
1009|Stealing Beauty (1996)|64
450|Star Trek V: The Final Frontier (1989)|63
481|The Apartment (1960)|63
516|Local Hero (1983)|63
553|Walk in the Clouds, A (1995)|63
