1|Toy Story (1995)|01-Jan-1995|3,4,5|383,616,926,1930,5845,7068,7891,7905,8115,9926,10459,10883,12921,14726,14832,14833,16940,18446,19520,20737,20803,21201,21365,21521,21573,22018,22934,23871,24921,25556,26924,27186,27839,30566,32462,33514,35570,36550,36926,37532,37777,39326,41982|446
2|GoldenEye (1995)|01-Jan-1995|1,2,16|1201,1315,1632,3122,3628,3828,5089,5612,5815,6661,7123,8167,10317,12566,12961,13483,14080,14496,14629,15537,15964,16218,17761,17807,18025,20235,22953,28410,29614,30442,32434,32725,32928,33396,33735,34015,35355,36446,40432|115
3|Four Rooms (1995)|01-Jan-1995|16|1277,1822,3729,11393,14914,21217,22670,24328,25727,27014,27226,28348,29998,30076,30329,32246,32284,33953,34186,34634,37005,37441,37583,40136,40839,41552,41766,41768,42232,42806|15,678,679,803
4|Get Shorty (1995)|01-Jan-1995|1,5,8|2897,5138,5481,6633,6733,8106,8289,8987,9193,9353,9963,10350,10417,10636,11580,11790,13454,13650,15233,15441,16400,16620,18200,20035,20322,20654,20713,22322,23112,23564,24385,24662,25051,26428,26920,27059,27670,27676,27843,28404,29615,30046,30856,32554,34550,35773,37229,37814,39413,40169,40442,42250,42251|766
5|Copycat (1995)|01-Jan-1995|6,8,16|1317,1620,1894,2530,2848,2971,3079,3222,4641,5157,5200,5841,6724,6872,8249,8347,8917,10274,10275,10879,11880,12679,13339,13633,14033,14278,14330,14534,14905,17451,18261,18447,18475,18629,19156,19220,19653,20282,20682,21176,22008,22423,22678,22689,22840,23293,23501,23534,24154,24226,24618,24796,25673,27121,27910,28870,28872,29443,30275,30800,30801,31129,31490,32425,33291,34272,34746,35157,35972,38600,40606,40752,40814,40939,41184,42445|14
6|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|01-Jan-1995|8||
7|Twelve Monkeys (1995)|01-Jan-1995|8,15|61,159,2080,2288,2984,2987,3654,3841,4113,4366,6022,6081,6711,6784,7105,8230,9489,9839,10021,10681,11188,11205,11779,12232,12835,13193,13424,14061,14283,14581,15484,16298,16936,17333,17590,17605,17687,18343,18481,19605,19641,20078,20495,20816,20833,20872,21111,21148,21611,22614,22730,22794,23285,23619,23633,24920,25366,25716,25846,25951,25983,27412,27544,27555,28323,28348,28968,29793,32097,32261,32963,33118,33329,33889,33934,34378,34516,35465,36731,36950,37475,39327,41059,41106,41301,41486,42285,42878,43041|286
8|Babe (1995)|01-Jan-1995|4,5,8|1119,1390,1486,2298,3241,3424,5695,7164,7600,7914,9783,10321,11050,11308,12260,14363,15380,15526,15649,16081,16090,16345,17509,17885,18172,18860,21629,22616,27031,27710,27715,28654,29221,29319,29754,30623,30896,30945,31273,32165,32198,32257,32462,33346,33408,33449,33771,34038,34096,34501,34609,35098,35356,35890,36080,36623,37160,38244,38400,38573,39149,39275,39566,41454,41563,42293|584
9|Dead Man Walking (1995)|01-Jan-1995|8|50,717,1464,2248,2286,2437,2490,2887,2977,3155,3199,3514,3976,5077,5270,5800,7905,8660,8902,9582,11598,12065,12335,12638,14145,15657,17261,18352,18850,18933,18983,20436,20787,21211,22168,22171,22174,23191,23525,24717,24987,26020,28367,28424,29446,29831,30794,31236,32602,33693,33907,34590,34810,36108,36272,36756,37271,37367,39365,39824,39829,39846,40303,40815,40917,42540,42948|673
10|Richard III (1995)|22-Jan-1996|8,17|671,2680,3038,4089,7149,7209,7337,7802,9653,10421,10846,10950,11247,12912,15403,15964,17305,17328,20239,21251,21545,25478,27909,28331,28624,30105,34419,35818,38067,40433,40920,41162|482
11|Seven (Se7en) (1995)|01-Jan-1995|6,16||
12|The Usual Suspects (1995)|14-Aug-1995|6,16|1233,1476,1543,2939,3649,3847,5949,6021,6540,7799,7937,8989,9603,9628,10015,10286,10314,10499,11365,12321,15627,15973,17317,17480,17544,18399,19412,20045,20441,20928,21030,21092,22319,23886,24215,24719,28205,29442,31600,33029,34434,40803|750
13|Mighty Aphrodite (1995)|30-Oct-1995|5|44,139,387,412,1163,2358,4296,4311,5003,6013,6136,6363,7445,7573,8373,8471,8772,8803,9351,9507,9534,11519,14370,14501,16343,16437,17479,17491,17968,18326,18352,18611,18911,18988,20972,21508,21531,22257,23615,24300,25178,25595,26192,26311,26591,27519,27842,28447,30331,30372,30447,31290,32029,32569,32701,32754,33148,33189,33241,34150,34325,34363,34615,35336,35654,36434,36772,38260,38897,40543,40949,41026,42157|6
14|Postino, Il (1994)|01-Jan-1994|8,14||
15|Mr. Holland's Opus (1995)|29-Jan-1996|8|105,542,732,1996,2084,2111,2741,3491,3717,3822,3986,4287,4821,4973,5345,6084,6904,6961,7211,7268,7836,8470,8627,8845,9514,9648,9726,12147,13019,16117,16604,17615,17982,18900,20592,21674,21833,22144,22430,24299,25573,26015,27052,27983,27985,29590,30532,31122,31226,32754,32992,33159,33426,33895,34398,34664,35345,35755,37043,37596,37837,38374,38608,39000,40693,40726,40960,42273,42806,42880|337
16|French Twist (Gazon maudit) (1995)|01-Jan-1995|5,14||
17|From Dusk Till Dawn (1996)|05-Feb-1996|1,5,6,11,16|932,1822,4868,5331,5676,8192,9232,11225,11532,13650,14802,14914,15100,15515,16469,17317,17367,18426,19195,20162,20279,20647,20964,22376,23251,23266,25727,26352,26396,26438,27202,28328,28589,30216,30250,30251,30681,31530,31635,32832,34062,34483,34624,34634,34869,35544,36388,36589,36684,36862,37620,38014,39380,41612|679
18|The White Balloon (1995)|01-Jan-1995|8||
19|Antonia's Line (1995)|01-Jan-1995|8||
20|Angels and Insects (1995)|01-Jan-1995|8,14|888,902,1220,1310,1792,2450,6191,6403,8809,9043,9761,11023,11484,11792,12297,12364,12855,13744,14142,14795,15427,19127,20151,20731,21592,21631,22917,25954,26211,26432,26651,26652,26962,28044,28732,29195,29596,29641,29735,30463,30580,31267,31548,31552,31599,31755,33228,33936,34017,34249,34299,34300,34643,34772,35178,35202,35811,36825,36828,36839,37042,37045,37307,37474,37813,38106,38357,39080,39146,39325,39574,39599,40433,40939,40952,40953,41446,41650,41674,41936,42067,42611,42967|312
21|Muppet Treasure Island (1996)|16-Feb-1996|1,2,5,12,16|1393,1435,1495,1605,2217,2263,3127,3358,3391,4400,4792,4804,5112,5158,5884,6165,7547,8218,9146,9420,9802,11068,11485,11491,11554,12823,13140,14014,14540,15111,15932,16375,19006,19163,19942,20223,20851,21336,22175,24814,25986,25989,26238,26242,26275,26437,26669,26944,27520,27959,28085,28640,29082,32112,33702,33927,34375,38146,38300,38588,38903,39148,39856,40318,40873,40874,41746,42706,42909|335
22|Braveheart (1995)|16-Feb-1996|1,8,17|789,1306,2165,3498,3652,4006,4184,4591,4596,4675,5016,5448,5547,6608,7397,8197,8503,8515,8665,8755,9205,9477,9561,9565,9733,10887,12055,12846,13548,13723,13813,14903,14970,15677,16031,17233,17240,17245,17314,17493,18610,18667,18706,18742,19024,19330,19442,19543,19567,20240,21271,21919,22243,22280,23252,23560,25671,26165,26583,26906,27393,27791,28043,28102,29677,30233,31007,37141,37173,37458,38160,41242|283
23|Taxi Driver (1976)|16-Feb-1996|8,16|162,742,749,759,1961,2749,3089,4958,6385,7046,8420,10052,10152,10169,11048,11652,13578,13643,13650,16162,16403,16522,16800,17977,18539,19329,20028,20890,21177,23241,23508,23998,24283,24799,25368,26760,27036,29186,29689,32034,32545,32952,33421,33607,34135,38099,39040,40639,41928|721
24|Rumble in the Bronx (1995)|23-Feb-1996|1,2,6||
25|The Birdcage (1996)|08-Mar-1996|5|500,1058,1505,3472,3784,3848,4648,6065,6548,6552,6694,9011,9065,9532,9804,9912,10636,11391,11423,11572,11681,12767,13493,13664,14032,14152,14609,14640,14726,15151,15701,16020,17262,17840,18046,18466,19270,20839,20963,20996,21653,22357,22954,22969,24603,24736,24947,24958,25062,25845,26287,26567,27887,28303,28655,29839,29908,30641,31514,31757,32006,32067,33326,34284,36833,37047,37522,39335,40692,42621|581
26|The Brothers McMullen (1995)|01-Jan-1995|5|3493,12949,17238,18597,29309,29746,30429,30674,35559,37560|105
27|Bad Boys (1995)|01-Jan-1995|1|459,1047,2483,2506,4272,4892,5411,5812,8876,9911,10500,11801,12243,12462,13129,13483,14065,14148,14917,16002,16359,16868,17494,17529,17910,20076,22463,23020,23720,24565,25616,25668,26354,28817,29337,30544,32225,33633,34705,36528,36562,37181,39521,39612,40254,42760|58
28|Apollo 13 (1995)|01-Jan-1995|1,8,16|362,429,588,800,1054,1095,1468,1956,1965,2000,2216,2291,2426,2637,3079,3285,3847,4249,4653,4828,5138,5161,5380,5578,5640,5701,5797,5806,6447,7322,7466,7765,8329,9930,9931,10335,10414,10787,10883,11029,11873,12118,12144,12247,12273,12330,12787,12828,13496,14134,15486,15728,15747,16386,16498,16508,16789,17044,17325,17368,17688,17775,17812,18268,19109,19427,20320,20976,21527,21879,22120,22779,22791,23704,24038,24288,24359,24733,25268,26952,27194,27923,27971,27972,28025,28104,28278,28627,28725,28794,28906,32543,34417,35051,35053,35058,35391,36082,36579,36688,36704,36830,37169,37257,37355,39454,39565,39660,40077,40366,42682|366
29|Batman Forever (1995)|01-Jan-1995|1,2,5,6|961,1721,2071,4041,4156,4201,4360,4541,4813,5896,6052,6848,7775,8172,8374,10051,10126,10337,10352,10508,11630,11726,11802,12653,13199,13214,13495,13917,14656,14679,14863,14973,15045,15517,15817,16614,16957,17689,17965,18247,18581,19007,19504,20012,20039,20742,21076,21387,21746,22192,22358,22929,22930,23058,23568,24118,24526,27379,28385,28568,29125,29562,29921,30426,30821,31892,32973,33260,33277,33317,33716,34294,34795,35524,35859,37392,39718,39870,40263,40451,40490,41845,41890,42094,42325|719
30|Belle de jour (1967)|01-Jan-1967|8|2321,3615,4297,4442,4449,4885,6394,8025,8943,13869,16215,16416,16423,18758,20712,21361,24675,30357,32138,32435,33073,36341,38234,38295,38779,38882|110
31|Crimson Tide (1995)|01-Jan-1995|8,16,17|1462,1639,2158,2206,2722,2820,3195,3292,3472,3569,4063,4284,4562,5623,6023,6079,6737,7493,7765,7823,8004,8091,9159,9193,9219,9831,9884,9903,10395,10636,12829,14172,14916,15150,15222,17830,18488,18489,19374,19453,19753,20660,21461,22161,23429,24574,24855,25237,25963,26253,26799,26920,27183,27575,27625,27689,28655,29018,31003,31005,41795|724
32|Crumb (1994)|01-Jan-1994|7|5753,5754,5755,5756,6997,8872,10373,12254,18618,22377,31999,32000,33000,33985,34432,36025,38098,38707,39830|907
33|Desperado (1995)|01-Jan-1995|1,14,16|435,755,1277,3554,5676,6014,6330,9148,9215,10607,12184,12440,14802,16469,16529,16674,17764,18426,18503,19242,23111,25727,26438,27013,29694,34293,34634,36300,39919,42232|679
34|The Doom Generation (1995)|01-Jan-1995|5,8|3397,7461,8135,8761,9164,13517,14151,19141,19686,21250,23316,24752,27733,28218,28818,30002,31450,33308,37533,39314,41611,42518|23
35|Free Willy 2: The Adventure Home (1995)|01-Jan-1995|2,4,8|811,1246,3099,3917,5181,6016,8309,10991,13345,13646,16132,16775,22012,22543,23163,23346,25396,25885,26589,27372,27433,28332,29656,30716,31080,31323,31487,33712,35217,35955,36887,38081,38704,39117,40366,42918|477
36|Mad Love (1995)|01-Jan-1995|8,14|4315,4692,7381,7456,7870,9155,9252,9650,10559,11919,15405,15793,18814,19504,22880,23422,24082,29272,29372,29921,31679,32222,32793,34334,37823,38712,39447,40228,40813,41787,42168|79
37|Nadja (1994)|01-Jan-1994|8|7042,8619,9412,10029,11042,15718,15860,15937,18937,21546,21568,22453,22454,23596,28478,29172,29442,31931,33853,35585,36944,39951,40159|9
38|The Net (1995)|01-Jan-1995|15,16|451,802,2005,2758,2814,2893,3192,3232,3329,3916,4331,5640,6119,6872,6900,8856,9237,9888,10033,11668,12134,13288,13906,14063,15518,15525,15980,17368,17861,19324,20490,22008,23415,24610,26086,27139,28468,28470,28471,29197,29768,30101,30320,30432,30800,30831,30918,30991,31827,33056,33301,33736,36110,38887,38978,42127,42166,42261,42775|878
39|Strange Days (1995)|01-Jan-1995|1,6,15|68,551,778,809,810,816,2189,2663,3725,3846,3847,3848,4019,4040,4382,4665,5683,5969,6079,6776,7132,7598,8213,8317,8341,8823,9020,10106,10633,10716,10838,11723,12553,12597,12599,13517,13633,16257,16577,16670,17424,17507,17985,18680,19306,19963,20873,21726,21885,22363,22937,23089,24318,24549,24654,26123,26230,26501,26597,26679,26743,26949,28086,28354,28454,28692,28931,28967,29135,29782,29947,30205,31433,33796,33999,35080,35083,35222,35751,36178,36426,36589,37233,37628,38235,38860,39169,39632,42643,42997|77
40|To Wong Foo, Thanks for Everything! Julie Newmar (1995)|01-Jan-1995|5||
41|Billy Madison (1995)|01-Jan-1995|5|186,340,1055,1142,1424,1794,3554,4210,4236,4411,4918,4978,5241,5642,6521,6736,7014,7151,7432,8096,8107,8258,9625,10608,10881,11513,13660,14258,14955,15196,15197,15232,15862,16025,16043,16213,16415,16482,16778,16785,17204,17565,18511,18538,18840,18842,20968,22350,23107,24016,24424,24460,25869,26989,28067,28271,28912,30118,30262,30630,30820,31299,31429,32047,32672,33403,34006,34229,34540,34974,35102,36051,37761,38312,38572,39232,39866,39962,40610,41801,41807,42429,42548,42758,42813|186
42|Clerks (1994)|01-Jan-1994|5|537,1125,1319,1741,1824,1970,2121,3467,4758,4950,5635,7214,8388,8451,8504,10689,10923,10924,12473,12598,14106,15140,17713,18523,19507,19539,20471,20472,20473,22659,23356,24510,25086,25953,27932,30727,31927,31937,32011,33789,35002,35377,36148,36807,38570,39028,40906,40945,41077,41618|758
43|Disclosure (1994)|01-Jan-1994|8,16|874,949,1192,4562,6919,7120,7466,7515,7670,9136,11209,11790,14826,15616,17861,21083,21945,22958,23886,25499,25621,26743,30445,31498,32919,33297,33397,33410,33980,34720,35873,35876,37012,37469,38035,39227,39576,40073,40435,41822,41895,42701,42973|468
44|Dolores Claiborne (1994)|01-Jan-1994|8,16||
45|Eat Drink Man Woman (1994)|01-Jan-1994|5,8||
46|Exotica (1994)|01-Jan-1994|8|2390,4482,5965,9222,10243,10304,11405,14317,14377,17163,17327,17640,33217,35854,35938,39279,39502|228
47|Ed Wood (1994)|01-Jan-1994|5,8|268,467,512,758,1207,1462,1770,2033,2174,2422,2722,2963,3092,3569,4127,5492,5494,5751,5907,5969,6325,6404,6480,6671,6694,7203,7552,8362,9197,9204,9869,10617,11531,11728,11873,11895,11968,12144,13153,13607,14091,14649,14692,14999,15627,16301,16306,16610,17723,18155,18341,18719,18982,19017,19377,20062,21334,21465,21857,21937,22095,22558,22837,23781,24041,24047,24052,24174,24231,24385,24820,24947,24979,25067,25093,25127,25904,27304,28655,28864,29347,29602,29830,30025,30648,30923,31522,31771,31874,32079,32868,35129,35776,35835,35980,36171,36250,36774,37071,37168,37243,38875,39312,40794,41471,41472,41566,41736,42345,42661,42729|107
48|Hoop Dreams (1994)|01-Jan-1994|7|169,170,171,527,1697,2113,5656,7161,7254,7763,7878,9371,9373,9374,9550,9725,9994,10220,12133,12743,13060,13705,14150,14456,15060,17722,19426,19599,20793,20828,22536,24472,26012,26080,27131,27712,27725,28426,29112,29266,29267,29269,33719,34670,35005,37883,37884,37917,42478|387
